year,Territory/Province,avg temp,avg rain
1977,NT,-4.7581497797356835,15.691450777202075
1977,NU,-9.146298788694498,18.814509803921588
1977,AB,3.0977437550362636,30.179809681423194
1977,SK,3.0303532008830056,32.310081112398635
1977,MB,3.1090452261306556,41.796210268948656
1977,ON,7.26913774973711,65.93357829282078
1977,QC,4.166254635352285,69.03405247813413
1977,NB,6.972000000000004,85.05533333333332
1977,NS,8.141506129597197,94.7911564625851
1977,PE,7.754166666666664,72.33452380952383
1977,NL,5.2378947368421045,88.55364238410591
1977,XX,9.316666666666666,67.78333333333335
1978,BC,8.592425401683228,97.22291060291056
1978,YT,-2.879878048780489,25.991160220994477
1978,NT,-4.7581497797356835,15.691450777202075
1978,NU,-9.146298788694498,18.814509803921588
1978,AB,3.0977437550362636,30.179809681423194
1978,SK,3.0303532008830056,32.310081112398635
1978,MB,3.1090452261306556,41.796210268948656
1978,ON,7.26913774973711,65.93357829282078
1978,QC,4.166254635352285,69.03405247813413
1978,NB,6.972000000000004,85.05533333333332
1978,NS,8.141506129597197,94.7911564625851
1978,PE,7.754166666666664,72.33452380952383
1978,NL,5.2378947368421045,88.55364238410591
1978,XX,9.316666666666666,67.78333333333335
1979,BC,8.592425401683228,97.22291060291056
1979,YT,-2.879878048780489,25.991160220994477
1979,NT,-4.7581497797356835,15.691450777202075
1979,NU,-9.146298788694498,18.814509803921588
1979,AB,3.0977437550362636,30.179809681423194
1979,SK,3.0303532008830056,32.310081112398635
1979,MB,3.1090452261306556,41.796210268948656
1979,ON,7.26913774973711,65.93357829282078
1979,QC,4.166254635352285,69.03405247813413
1979,NB,6.972000000000004,85.05533333333332
1979,NS,8.141506129597197,94.7911564625851
1979,PE,7.754166666666664,72.33452380952383
1979,NL,5.2378947368421045,88.55364238410591
1979,XX,9.316666666666666,67.78333333333335
1980,BC,8.592425401683228,97.22291060291056
1980,YT,-2.879878048780489,25.991160220994477
1980,NT,-4.7581497797356835,15.691450777202075
1980,NU,-9.146298788694498,18.814509803921588
1980,AB,3.0977437550362636,30.179809681423194
1980,SK,3.0303532008830056,32.310081112398635
1980,MB,3.1090452261306556,41.796210268948656
1980,ON,7.26913774973711,65.93357829282078
1980,QC,4.166254635352285,69.03405247813413
1980,NB,6.972000000000004,85.05533333333332
1980,NS,8.141506129597197,94.7911564625851
1980,PE,7.754166666666664,72.33452380952383
1980,NL,5.2378947368421045,88.55364238410591
1980,XX,9.316666666666666,67.78333333333335
1981,BC,8.592425401683228,97.22291060291056
1981,YT,-2.879878048780489,25.991160220994477
1981,NT,-4.7581497797356835,15.691450777202075
1981,NU,-9.146298788694498,18.814509803921588
1981,AB,3.0977437550362636,30.179809681423194
1981,SK,3.0303532008830056,32.310081112398635
1981,MB,3.1090452261306556,41.796210268948656
1981,ON,7.26913774973711,65.93357829282078
1981,QC,4.166254635352285,69.03405247813413
1981,NB,6.972000000000004,85.05533333333332
1981,NS,8.141506129597197,94.7911564625851
1981,PE,7.754166666666664,72.33452380952383
1981,NL,5.2378947368421045,88.55364238410591
1981,XX,9.316666666666666,67.78333333333335
1982,BC,8.592425401683228,97.22291060291056
1982,YT,-2.879878048780489,25.991160220994477
1982,NT,-4.7581497797356835,15.691450777202075
1982,NU,-9.146298788694498,18.814509803921588
1982,AB,3.0977437550362636,30.179809681423194
1982,SK,3.0303532008830056,32.310081112398635
1982,MB,3.1090452261306556,41.796210268948656
1982,ON,7.26913774973711,65.93357829282078
1982,QC,4.166254635352285,69.03405247813413
1982,NB,6.972000000000004,85.05533333333332
1982,NS,8.141506129597197,94.7911564625851
1982,PE,7.754166666666664,72.33452380952383
1982,NL,5.2378947368421045,88.55364238410591
1982,XX,9.316666666666666,67.78333333333335
1983,BC,8.592425401683228,97.22291060291056
1983,YT,-2.879878048780489,25.991160220994477
1983,NT,-4.7581497797356835,15.691450777202075
1983,NU,-9.146298788694498,18.814509803921588
1983,AB,3.0977437550362636,30.179809681423194
1983,SK,3.0303532008830056,32.310081112398635
1983,MB,3.1090452261306556,41.796210268948656
1983,ON,7.26913774973711,65.93357829282078
1983,QC,4.166254635352285,69.03405247813413
1983,NB,6.972000000000004,85.05533333333332
1983,NS,8.141506129597197,94.7911564625851
1983,PE,7.754166666666664,72.33452380952383
1983,NL,5.2378947368421045,88.55364238410591
1983,XX,9.316666666666666,67.78333333333335
1984,BC,8.592425401683228,97.22291060291056
1984,YT,-2.879878048780489,25.991160220994477
1984,NT,-4.7581497797356835,15.691450777202075
1984,NU,-9.146298788694498,18.814509803921588
1984,AB,3.0977437550362636,30.179809681423194
1984,SK,3.0303532008830056,32.310081112398635
1984,MB,3.1090452261306556,41.796210268948656
1984,ON,7.26913774973711,65.93357829282078
1984,QC,4.166254635352285,69.03405247813413
1984,NB,6.972000000000004,85.05533333333332
1984,NS,8.141506129597197,94.7911564625851
1984,PE,7.754166666666664,72.33452380952383
1984,NL,5.2378947368421045,88.55364238410591
1984,XX,9.316666666666666,67.78333333333335
1985,BC,8.592425401683228,97.22291060291056
1985,YT,-2.879878048780489,25.991160220994477
1985,NT,-4.7581497797356835,15.691450777202075
1985,NU,-9.146298788694498,18.814509803921588
1985,AB,3.0977437550362636,30.179809681423194
1985,SK,3.0303532008830056,32.310081112398635
1985,MB,3.1090452261306556,41.796210268948656
1985,ON,7.26913774973711,65.93357829282078
1985,QC,4.166254635352285,69.03405247813413
1985,NB,6.972000000000004,85.05533333333332
1985,NS,8.141506129597197,94.7911564625851
1985,PE,7.754166666666664,72.33452380952383
1985,NL,5.2378947368421045,88.55364238410591
1985,XX,9.316666666666666,67.78333333333335
1986,BC,8.592425401683228,97.22291060291056
1986,YT,-2.879878048780489,25.991160220994477
1986,NT,-4.7581497797356835,15.691450777202075
1986,NU,-9.146298788694498,18.814509803921588
1986,AB,3.0977437550362636,30.179809681423194
1986,SK,3.0303532008830056,32.310081112398635
1986,MB,3.1090452261306556,41.796210268948656
1986,ON,7.26913774973711,65.93357829282078
1986,QC,4.166254635352285,69.03405247813413
1986,NB,6.972000000000004,85.05533333333332
1986,NS,8.141506129597197,94.7911564625851
1986,PE,7.754166666666664,72.33452380952383
1986,NL,5.2378947368421045,88.55364238410591
1986,XX,9.316666666666666,67.78333333333335
1987,BC,8.592425401683228,97.22291060291056
1987,YT,-2.879878048780489,25.991160220994477
1987,NT,-4.7581497797356835,15.691450777202075
1987,NU,-9.146298788694498,18.814509803921588
1987,AB,3.0977437550362636,30.179809681423194
1987,SK,3.0303532008830056,32.310081112398635
1987,MB,3.1090452261306556,41.796210268948656
1987,ON,7.26913774973711,65.93357829282078
1987,QC,4.166254635352285,69.03405247813413
1987,NB,6.972000000000004,85.05533333333332
1987,NS,8.141506129597197,94.7911564625851
1987,PE,7.754166666666664,72.33452380952383
1987,NL,5.2378947368421045,88.55364238410591
1987,XX,9.316666666666666,67.78333333333335
1988,BC,8.592425401683228,97.22291060291056
1988,YT,-2.879878048780489,25.991160220994477
1988,NT,-4.7581497797356835,15.691450777202075
1988,NU,-9.146298788694498,18.814509803921588
1988,AB,3.0977437550362636,30.179809681423194
1988,SK,3.0303532008830056,32.310081112398635
1988,MB,3.1090452261306556,41.796210268948656
1988,ON,7.26913774973711,65.93357829282078
1988,QC,4.166254635352285,69.03405247813413
1988,NB,6.972000000000004,85.05533333333332
1988,NS,8.141506129597197,94.7911564625851
1988,PE,7.754166666666664,72.33452380952383
1988,NL,5.2378947368421045,88.55364238410591
1988,XX,9.316666666666666,67.78333333333335
1989,BC,8.592425401683228,97.22291060291056
1989,YT,-2.879878048780489,25.991160220994477
1989,NT,-4.7581497797356835,15.691450777202075
1989,NU,-9.146298788694498,18.814509803921588
1989,AB,3.0977437550362636,30.179809681423194
1989,SK,3.0303532008830056,32.310081112398635
1989,MB,3.1090452261306556,41.796210268948656
1989,ON,7.26913774973711,65.93357829282078
1989,QC,4.166254635352285,69.03405247813413
1989,NB,6.972000000000004,85.05533333333332
1989,NS,8.141506129597197,94.7911564625851
1989,PE,7.754166666666664,72.33452380952383
1989,NL,5.2378947368421045,88.55364238410591
1989,XX,9.316666666666666,67.78333333333335
1990,BC,8.592425401683228,97.22291060291056
1990,YT,-2.879878048780489,25.991160220994477
1990,NT,-4.7581497797356835,15.691450777202075
1990,NU,-9.146298788694498,18.814509803921588
1990,AB,3.0977437550362636,30.179809681423194
1990,SK,3.0303532008830056,32.310081112398635
1990,MB,3.1090452261306556,41.796210268948656
1990,ON,7.26913774973711,65.93357829282078
